PGM_PO_NUMBER,PRD_LVL_NUMBER,NEW_FOB
2672270,73519379,4.23
2672270,73519386,4.23
2672270,73519393,4.23
2672270,73519409,4.23
2672270,73519416,4.23
2672270,73519423,4.23
2672282,73519379,4.23
2672282,73519386,4.23
2672282,73519393,4.23
2672282,73519409,4.23
2672282,73519416,4.23
2672282,73519423,4.23
2672291,73519379,4.23
2672291,73519386,4.23
2672291,73519393,4.23
2672291,73519409,4.23
2672291,73519416,4.23
2672291,73519423,4.23
2672263,73525639,5.85
2672262,73525622,5.85
2672149,73523178,3.04
2672150,73523161,3.21
2672151,73525011,3.04
2672152,73525028,3.21
2672264,73520986,5.5
2672265,73520979,5.5
2672266,73520962,5.5
2672145,73523505,2.65
2672146,73523512,2.71
2672147,73523529,2.65
2672142,73521525,1.35
2672156,73521525,1.35
2674993,73521525,1.35
2672141,73521501,1.28
2672155,73521501,1.28
2672172,73521501,1.28
2672140,73521518,1.28
2672153,73521518,1.28
2672154,73521518,1.28
2672143,73526117,1.65
2672139,73526124,1.6
2672144,73526131,1.65
2672128,73528685,4.95
2677493,73542339,2.87
2677493,73542346,2.87
2677493,73542353,2.87
2677493,73542360,2.87
2677493,73542377,2.87
2677496,73542339,2.87
2677496,73542346,2.87
2677496,73542353,2.87
2677496,73542360,2.87
2677496,73542377,2.87
2677500,73542339,2.87
2677500,73542346,2.87
2677500,73542353,2.87
2677500,73542360,2.87
2677500,73542377,2.87
2677504,73542339,2.87
2677504,73542346,2.87
2677504,73542353,2.87
2677504,73542360,2.87
2677504,73542377,2.87
2677508,73542339,2.87
2677508,73542346,2.87
2677508,73542353,2.87
2677508,73542360,2.87
2677508,73542377,2.87
2677512,73542339,2.87
2677512,73542346,2.87
2677512,73542353,2.87
2677512,73542360,2.87
2677512,73542377,2.87
2677516,73542339,2.87
2677516,73542346,2.87
2677516,73542353,2.87
2677516,73542360,2.87
2677516,73542377,2.87
2677520,73542339,2.87
2677520,73542346,2.87
2677520,73542353,2.87
2677520,73542360,2.87
2677520,73542377,2.87
2677523,73542339,2.87
2677523,73542346,2.87
2677523,73542353,2.87
2677523,73542360,2.87
2677523,73542377,2.87
2677494,73542254,2.87
2677494,73542261,2.87
2677494,73542278,2.87
2677494,73542285,2.87
2677494,73542292,2.87
2677497,73542254,2.87
2677497,73542261,2.87
2677497,73542278,2.87
2677497,73542285,2.87
2677497,73542292,2.87
2677501,73542254,2.87
2677501,73542261,2.87
2677501,73542278,2.87
2677501,73542285,2.87
2677501,73542292,2.87
2677505,73542254,2.87
2677505,73542261,2.87
2677505,73542278,2.87
2677505,73542285,2.87
2677505,73542292,2.87
2677509,73542254,2.87
2677509,73542261,2.87
2677509,73542278,2.87
2677509,73542285,2.87
2677509,73542292,2.87
2677513,73542254,2.87
2677513,73542261,2.87
2677513,73542278,2.87
2677513,73542285,2.87
2677513,73542292,2.87
2677517,73542254,2.87
2677517,73542261,2.87
2677517,73542278,2.87
2677517,73542285,2.87
2677517,73542292,2.87
2677521,73542254,2.87
2677521,73542261,2.87
2677521,73542278,2.87
2677521,73542285,2.87
2677521,73542292,2.87
2677492,73542414,2.87
2677492,73542421,2.87
2677492,73542438,2.87
2677492,73542445,2.87
2677492,73542452,2.87
2677495,73542414,2.87
2677495,73542421,2.87
2677495,73542438,2.87
2677495,73542445,2.87
2677495,73542452,2.87
2677499,73542414,2.87
2677499,73542421,2.87
2677499,73542438,2.87
2677499,73542445,2.87
2677499,73542452,2.87
2677503,73542414,2.87
2677503,73542421,2.87
2677503,73542438,2.87
2677503,73542445,2.87
2677503,73542452,2.87
2677507,73542414,2.87
2677507,73542421,2.87
2677507,73542438,2.87
2677507,73542445,2.87
2677507,73542452,2.87
2677511,73542414,2.87
2677511,73542421,2.87
2677511,73542438,2.87
2677511,73542445,2.87
2677511,73542452,2.87
2677515,73542414,2.87
2677515,73542421,2.87
2677515,73542438,2.87
2677515,73542445,2.87
2677515,73542452,2.87
2677519,73542414,2.87
2677519,73542421,2.87
2677519,73542438,2.87
2677519,73542445,2.87
2677519,73542452,2.87
2677911,73542414,2.87
2677911,73542421,2.87
2677911,73542438,2.87
