PGM_PO_NUMBER,PRD_LVL_NUMBER,NEW_FOB
2679782,73615156,4.2
2679787,73615156,4.2
2679791,73615156,4.2
2679795,73615156,4.2
2679798,73615262,4.24
2679798,73615279,4.24
2679798,73615286,4.24
2679798,73615293,4.24
2679798,73615309,4.24
2679798,73615316,4.24
2679798,73615323,4.24
2679800,73615255,4.24
2679800,73615262,4.24
2679800,73615279,4.24
2679800,73615286,4.24
2679800,73615293,4.24
2679800,73615309,4.24
2679800,73615316,4.24
2679800,73615323,4.24
2679802,73615255,4.24
2679802,73615262,4.24
2679802,73615279,4.24
2679802,73615286,4.24
2679802,73615293,4.24
2679802,73615309,4.24
2679802,73615316,4.24
2679802,73615323,4.24
2679804,73615262,4.24
2679804,73615279,4.24
2679804,73615286,4.24
2679804,73615293,4.24
2679804,73615309,4.24
2679804,73615316,4.24
2679804,73615323,4.24
2679806,73615255,4.24
2679806,73615262,4.24
2679806,73615279,4.24
2679806,73615286,4.24
2679806,73615293,4.24
2679806,73615309,4.24
2679806,73615316,4.24
2679806,73615323,4.24
2679808,73615255,4.24
2679808,73615262,4.24
2679808,73615279,4.24
2679808,73615286,4.24
2679808,73615293,4.24
2679808,73615309,4.24
2679808,73615316,4.24
2679808,73615323,4.24
2679810,73615262,4.24
2679810,73615279,4.24
2679810,73615286,4.24
2679810,73615293,4.24
2679810,73615309,4.24
2679810,73615316,4.24
2679810,73615323,4.24
2679812,73615255,4.24
2679812,73615262,4.24
2679812,73615279,4.24
2679812,73615286,4.24
2679812,73615293,4.24
2679812,73615309,4.24
2679812,73615316,4.24
2679812,73615323,4.24
2679814,73615255,4.24
2679814,73615262,4.24
2679814,73615279,4.24
2679814,73615286,4.24
2679814,73615293,4.24
2679814,73615309,4.24
2679814,73615316,4.24
2679814,73615323,4.24
2679816,73615262,4.24
2679816,73615279,4.24
2679816,73615286,4.24
2679816,73615293,4.24
2679816,73615309,4.24
2679816,73615316,4.24
2679816,73615323,4.24
2679764,73615255,4.24
2679764,73615262,4.24
2679764,73615279,4.24
2679764,73615286,4.24
2679764,73615293,4.24
2679764,73615309,4.24
2679764,73615316,4.24
2679764,73615323,4.24
2679766,73615255,4.24
2679766,73615262,4.24
2679766,73615279,4.24
2679766,73615286,4.24
2679766,73615293,4.24
2679766,73615309,4.24
2679766,73615316,4.24
2679766,73615323,4.24
2679799,73615170,4.64
2679799,73615187,4.64
2679799,73615194,4.64
2679799,73615200,4.64
2679799,73615217,4.64
2679799,73615224,4.64
2679799,73615231,4.64
2679799,73615248,4.64
2679801,73615170,4.64
2679801,73615187,4.64
2679801,73615194,4.64
2679801,73615200,4.64
2679801,73615217,4.64
2679801,73615224,4.64
2679801,73615231,4.64
2679801,73615248,4.64
2679803,73615187,4.64
2679803,73615194,4.64
2679803,73615200,4.64
2679803,73615217,4.64
2679803,73615224,4.64
2679803,73615231,4.64
2679803,73615248,4.64
2679805,73615187,4.64
2679805,73615194,4.64
2679805,73615200,4.64
2679805,73615217,4.64
2679805,73615224,4.64
2679805,73615231,4.64
2679805,73615248,4.64
2679807,73615170,4.64
2679807,73615187,4.64
2679807,73615194,4.64
2679807,73615200,4.64
2679807,73615217,4.64
2679807,73615224,4.64
2679807,73615231,4.64
2679807,73615248,4.64
2679809,73615170,4.64
2679809,73615187,4.64
2679809,73615194,4.64
2679809,73615200,4.64
2679809,73615217,4.64
2679809,73615224,4.64
2679809,73615231,4.64
2679809,73615248,4.64
2679811,73615187,4.64
2679811,73615194,4.64
2679811,73615200,4.64
2679811,73615217,4.64
2679811,73615224,4.64
2679811,73615231,4.64
2679811,73615248,4.64
2679813,73615187,4.64
2679813,73615194,4.64
2679813,73615200,4.64
2679813,73615217,4.64
2679813,73615224,4.64
2679813,73615231,4.64
2679813,73615248,4.64
2679815,73615170,4.64
2679815,73615187,4.64
2679815,73615194,4.64
2679815,73615200,4.64
2679815,73615217,4.64
2679815,73615224,4.64
2679815,73615231,4.64
2679815,73615248,4.64
2679817,73615187,4.64
2679817,73615194,4.64
2679817,73615200,4.64
2679817,73615217,4.64
2679817,73615224,4.64
2679817,73615231,4.64
2679817,73615248,4.64
2679765,73615170,4.64
2679765,73615187,4.64
2679765,73615194,4.64
2679765,73615200,4.64
2679765,73615217,4.64
2679765,73615224,4.64
2679765,73615231,4.64
2679765,73615248,4.64
2679767,73615170,4.64
2679767,73615187,4.64
2679767,73615194,4.64
2679767,73615200,4.64
2679767,73615217,4.64
2679767,73615224,4.64
2679767,73615231,4.64
2679767,73615248,4.64
2656442,73383505,5.0
2656443,73383499,5.0
2656446,73383505,5.0
2656447,73383499,5.0
2673118,73520580,5.0
2673119,73520597,5.0
2656450,73383529,5.0
2656450,73383536,5.0
2656450,73383543,5.0
2656450,73383550,5.0
2656450,73383567,5.0
2656451,73383604,5.0
2656451,73383611,5.0
2656451,73383628,5.0
2656451,73383635,5.0
2656451,73383642,5.0
2673123,73520580,5.0
2673127,73520580,5.0
2673128,73520597,5.0
2656454,73383529,5.0
2656454,73383536,5.0
2656454,73383543,5.0
2656454,73383550,5.0
2656454,73383567,5.0
2656455,73383604,5.0
2656455,73383611,5.0
2656455,73383628,5.0
2656455,73383635,5.0
2656455,73383642,5.0
2673132,73520580,5.0
2673136,73520689,5.0
2673136,73520696,5.0
2673136,73520702,5.0
2673136,73520719,5.0
2673136,73520726,5.0
2673136,73520733,5.0
2673136,73520740,5.0
2673136,73520757,5.0
2673137,73520603,5.0
2673137,73520610,5.0
2673137,73520627,5.0
2673137,73520634,5.0
2673137,73520641,5.0
2673137,73520658,5.0
2673137,73520665,5.0
2673137,73520672,5.0
2656458,73383512,5.0
2656458,73383529,5.0
2656458,73383536,5.0
2656458,73383543,5.0
2656458,73383550,5.0
2656458,73383567,5.0
2656458,73383574,5.0
2656458,73383581,5.0
2656459,73383598,5.0
2656459,73383604,5.0
2656459,73383611,5.0
2656459,73383628,5.0
2656459,73383635,5.0
2656459,73383642,5.0
2656459,73383659,5.0
2656459,73383666,5.0
2673141,73520696,5.0
2673141,73520702,5.0
2673141,73520719,5.0
