PGM_PO_NUMBER,PRD_LVL_NUMBER,NEW_FOB
2658001,73351450,2.32
2658001,73351450,2.32
2658001,73351450,2.32
2658002,73351474,2.32
2658002,73351474,2.32
2658002,73351474,2.32
2658003,73351481,2.32
2658003,73351481,2.32
2658003,73351481,2.32
2658004,73351467,2.32
2658004,73351467,2.32
2658004,73351467,2.32
2658005,73393313,5.5
2658006,73351474,2.32
2658007,73351450,2.32
2658008,73351467,2.32
2658009,73351481,2.32
2658011,73351672,2.36
2658011,73351689,2.36
2658011,73351696,2.36
2658011,73351702,2.36
2658011,73351719,2.36
2658011,73351726,2.36
2658012,73351764,2.36
2658012,73351771,2.36
2658012,73351788,2.36
2658012,73351795,2.36
2658012,73351801,2.36
2658012,73351818,2.36
2658013,73351580,2.36
2658013,73351597,2.36
2658013,73351603,2.36
2658013,73351610,2.36
2658013,73351627,2.36
2658013,73351634,2.36
2658014,73351580,2.36
2658014,73351597,2.36
2658014,73351603,2.36
2658014,73351610,2.36
2658014,73351627,2.36
2658014,73351634,2.36
2658015,73351764,2.36
2658015,73351771,2.36
2658015,73351788,2.36
2658015,73351795,2.36
2658015,73351801,2.36
2658015,73351818,2.36
2658017,73351672,2.36
2658017,73351689,2.36
2658017,73351696,2.36
2658017,73351702,2.36
2658017,73351719,2.36
2658017,73351726,2.36
2673262,73542599,7.45
2673263,73542582,7.6
2673264,73542599,7.45
2673265,73542582,7.6
